classtype,flagno,storeno,storename,undertaker,storeaddr,contacttel,taxno
1,8819,K000237,東昌機車行,王秀茂,358苗栗縣苑裡鎮社苓里9鄰106-1號,037-742062,
1,8819,K000236,誌誠輪業股份有限公司,吳正賢,350苗栗縣竹南鎮博愛街81號,037-466505,
1,8819,K000226,順興機車行,吳進欽,360苗栗縣苗栗市勝利里31鄰新東街160號,037-355930,
1,8819,E000732,鈞慶車業股份有限公司,莊素貞,802高雄市苓雅區武營路437號,07-7527001,
1,8817,N000367,昆益機車材料行,林昆揚,500彰化縣彰化市大埔路７２１號,04-7113272,
1,8817,N000362,二水永興有限公司,黃明欽,530彰化縣二水鄉員集路３段５９４號,04-8792451,
1,8817,N000357,安詮車業有限公司,蘇秀勤,503彰化縣花壇鄉花壇街２號１、２樓,04-7868787,
1,8817,K000251,尚麒機車行,朱國禎,350苗栗縣竹南鎮光復路345號,037-481530,
1,8817,K000242,益來機車行,黃運來,350苗栗縣竹南鎮龍鳳里建國路440號,037-471610,
1,8802,K000216,冠軍建材竹苗展示中心(偉訊股份有限公司),郭百良,350苗栗縣竹南鎮大埔里13鄰竹篙厝200號.,03-7561761#177,
1,8800,K000216,冠軍建材竹苗展示中心(偉訊股份有限公司),郭百良,350苗栗縣竹南鎮大埔里13鄰竹篙厝200號.,03-7561761#177,
1,8799,N000380,進達車業有限公司,陳朝勝,512彰化縣永靖鄉瑚璉路３６５號,04-8239110,
1,8799,N000379,進程車業有限公司,黃寶玉,506彰化縣福興鄉沿海路３段１７３，１７５號,04-7702273,
1,8799,N000376,進成機車行,徐大杉,"510彰化縣員林市崙雅里 崙雅巷１－６號",04-8313271,
1,8799,N000366,順圓利機車行,黃寶來,509彰化縣伸港鄉中興路２段２９８號１樓,04-7981390,
1,8799,N000342,谷村車業有限公司,林谷村,508彰化縣和美鎮東溪路４６號,04-7355185,
1,8799,J000264,榮盛輪業,黃清驛,302新竹縣竹北市三民路190號,03-5552238,
1,8799,D000401,新益昌車行,邱聖佳,701臺南市東區崇德路659號之10,06-2681111,
1,8798,N000377,芳裕機車行,徐振富,510彰化縣員林市育英路１５５號１樓﹒地下１樓,04-8340396,
1,8798,N000350,昌盛車業有限公司,林昌敏,524彰化縣溪州鄉溪林路４０號,04-8895020,
1,8798,N000346,連瑩機車商行,粘文寬,506彰化縣福興鄉沿海路５段１８６號,04-7787018,
1,8798,N000343,瑞挺車業行,陳勇兆,500彰化縣彰化市中山路二段四○一號,04-7241930,
1,8797,D000402,巨新車業有限公司,蔡佳洲,701臺南市東區東門路二段35號,062369888,
1,8796,N000380,進達車業有限公司,陳朝勝,512彰化縣永靖鄉瑚璉路３６５號,04-8239110,
